#,Practice / Provider,Type,Specialty,Address,City,Phone,NPI,Motion,Tier,Status,Last Contact,Next Action,Notes
1,GOOD NEIGHBOR CLINIC FOUNDATION,Org,Family/Geriatric,4300 Crenshaw Blvd,Los Angeles,323-298-1668,1043162076,Client,1,New,,Call — reach office manager,On Crenshaw Blvd — direct corridor target. Lead with local clinic angle.
2,AUDACITY GLOBAL,Org,Community Health,8928 S Figueroa St,Los Angeles,213-537-3881,1306646526,Client,1,New,,Call — reach office manager,South LA community health — high chronic-condition panel likely.
3,SYLVIA GATES CARLISLE,Ind,IM / Geriatric,4859 W Slauson Ave Ste 213,Los Angeles,323-628-6500,1386131340,Both,1,New,,Call — reach office manager,South LA geriatrician — strong client AND supervising-physician partner candidate.
4,ADVANCED COMMUNITY MEDICAL CARE CORP,Org,IM / Nephrology,301 N Prairie Ave Ste 505,Inglewood,310-680-1810,1548329485,Client,1,New,,Call — reach office manager,"Inglewood — CKD + chronic panel, good RPM fit."
5,ANITHA MITCHELL MD A PROF CORP,Org,Internal Medicine,211 N Prairie Ave,Inglewood,310-673-9499,1235528092,Client,1,New,,Call — reach office manager,Inglewood IM solo/group.
6,BABAK BARADAR-BOKAIE MD INC,Org,Internal Medicine,511 E Manchester Blvd,Inglewood,310-672-9000,1760438725,Client,1,New,,Call — reach office manager,Inglewood IM.
7,"BREANNA R. FREEMAN-JORDAN MD, INC",Org,Internal Medicine,233 N Prairie Ave,Inglewood,310-673-6581,1598655326,Client,1,New,,Call — reach office manager,Inglewood IM.
8,"COMMUNITY WELLNESS MEDICAL CLINIC, INC",Org,Family Medicine,1218 S Inglewood Ave,Inglewood,310-722-5146,1821642059,Client,1,New,,Call — reach office manager,Inglewood FM clinic.
9,"HEALTH FOR LIFE, INC",Org,Internal Medicine,633 Aerick St Ste 125,Inglewood,310-981-9299,1457827578,Client,1,New,,Call — reach office manager,Inglewood IM.
10,"JCW MEDICAL CENTERS, INC.",Org,Internal Medicine,1035 S Prairie Ave Ste 1,Inglewood,310-672-6500,1669969218,Client,1,New,,Call — reach office manager,Multi-site IM — scalable account.
11,1 FAMILY CLINIC INC,Org,Family/Geriatric,701 N Alvarado St Ste B,Los Angeles,213-263-9095,1487344586,Client,2,New,,Call — reach office manager,Westlake/MacArthur Park FM.
12,ALVARADO HEALTHCARE INC,Org,Family/Geriatric,701 N Alvarado St Fl 1,Los Angeles,213-277-1451,1033945662,Client,2,New,,Call — reach office manager,Same building as 1 Family — possible cluster visit.
13,AHRA CHO M D INC,Org,Primary Care,2727 W Olympic Blvd Ste 205,Los Angeles,213-529-4251,1972081412,Client,2,New,,Call — reach office manager,Koreatown — often heavy Medicare Advantage panels.
14,"DONG HYUN LEE, MD, INC",Org,IM / Geriatric,2727 W Olympic Blvd Ste 309,Los Angeles,213-674-7758,1538723382,Client,2,New,,Call — reach office manager,Same building as Ahra Cho — cluster.
15,HUMANE MEDICAL GROUP,Org,Internal Medicine,3030 W Olympic Blvd Ste 220,Los Angeles,213-446-3046,1164251633,Client,2,New,,Call — reach office manager,Mid-Wilshire IM group.
16,"DR. SUNIL SINGHANIA, PC",Org,IM / Geriatric,1245 Wilshire Blvd Ste 607,Los Angeles,213-977-0187,1144521774,Client,2,New,,Call — reach office manager,Geriatric-focused IM.
17,DR. RODNEY BARRON MEDICAL CLINIC,Org,Family/Geriatric,1211 N Vermont Ave,Los Angeles,323-664-4114,1578891867,Client,2,New,,Call — reach office manager,East Hollywood FM.
18,HOLLYWOOD FAMILY CLINIC INC,Org,Family/Geriatric,866 N Vermont Ave Ste 3,Los Angeles,323-407-6597,1629912100,Client,2,New,,Call — reach office manager,East Hollywood FM.
